,Tweet,tweet_eng,final,sentiment_score,sentiments,Compound_Score,Sentiments,Positive,Negative,Neutral,Compound
0, shabrinaasekar worksfess yang lion air dighosting kak sampe sekarang gaada kejelasan lebih lanjut ,"shabrinaasekar worksfess That Lion Air was ghosted, bro, until now there is no further clarity",shabrinaasekar worksfess lion air dighosting kak sampe gaada jelas,0.0,Neutral,-0.5358,Negative,0.0,0.255,0.745,-0.5358
1, toyotaavanzaa worksfess aku salfok sama ptnya keren bisa nembus hpm lion air,Toyota Avanza worksfess I'm looking for cool PT to penetrate Lion Air's HPM,toyotaavanzaa worksfess salfok ptnya keren nembus hpm lion air,0.35,Positive,0.3182,Positive,0.161,0.0,0.839,0.3182
2,kalau nyari cantik ada raline syah bisa dibahas single lagi kalau mau nyari kaya ada raline pimpinan lion air kalau mau nyari suara bagus ada lyodra bisa diact kenal lagi ngapain coba kalau bukan cari aman karena perihal kita mainnya delete akun yang,"If you're looking for beauty, there's Raline Syah, you can talk about being single again. If you want to look for wealth, there's Raline, the leader of Lion Air. If you want to look for a good voice, there's Lyodra. You can act. You can meet me again. Why try it if you're not looking for safety? Because of the problem we're playing, delete that account.",nyari cantik raline syah bahas single nyari kaya raline pimpin lion air nyari suara bagus lyodra diact kenal ngapain coba cari aman perihal main delete akun,0.3142857142857143,Positive,0.8057,Positive,0.185,0.065,0.75,0.8057
3,seru juga liat orang orang debat soal pelayanan maskapai lcc apalagi lion air citilink,"It's also fun to see people debating about LCC airline services, especially Lion Air Citilink",seru liat orang orang debat layan maskapai lcc lion air citilink,0.15,Positive,0.5106,Positive,0.191,0.0,0.809,0.5106
4, frnsscls tanyakanrl ngetawain lion air sampe bengek ,frnsscls tanyarl laughed at Lion Air until he was mad,frnsscls tanyakanrl ngetawain lion air sampe bengek,0.03749999999999998,Neutral,-0.0516,Negative,0.211,0.225,0.563,-0.0516
5, worksfess jan mau nanti dimintain duit deposito dengan alasan keperluan seragam dll aku pernah kena deket lion air tower harmoni dan mereka ini berkomplot sama preman cosplay satpam minimal ribu boleh angsur dan kudu kalo mau masuk skip kalo ada diksih maps kek ,"worksfess Jan, I want to ask for deposit money for the reason that I need uniforms, etc. I was once approached by the Lion Air Tower Harmoni and they were in cahoots with thugs cosplaying security guards. At least one thousand can be paid in installments and it's mandatory if you want to enter. Skip if there are maps, okay?",worksfess jan dimintain duit deposito alas perlu seragam dll kena deket lion air tower harmoni komplot preman cosplay satpam minimal ribu angsur kudu masuk skip diksih maps kek,0.1,Positive,0.6369,Positive,0.13,0.0,0.87,0.6369
6, ryanrainaldi beliau aku memulai chapter baru ryan dicebok setan dan tragedi pramu gari lion air akan segera ganti judul,Ryan Rinaldi I'm starting a new chapter Ryan cebok Satan and the tragedy of Lion Air's flight attendant will soon change the title,ryanrainaldi beliau chapter ryan cebok setan tragedi pramu gari lion air ganti judul,0.11212121212121212,Positive,-0.6597,Negative,0.0,0.167,0.833,-0.6597
7,mau tanya manajemen lion air bawa koper isi sepeda ngurah rai dipaksa bayar kalau ngga diberangkatin padahal pas berangkat ada masalah koq dan ini bentuknya koper serta berat sesuai jatah kenapa policynya beda lionair ngurahraibali bali ,"I want to ask Lion Air management, carrying suitcases containing bicycles, Ngurah Rai, forced to pay if they don't leave, even though when they leave, there is a problem, and this is the shape of the suitcase and the weight is according to the allowance, why is the policy different from Lionair Ngurahraibali, Bali?",manajemen lion air bawa koper isi sepeda ngurah rai paksa bayar ngga diberangkatin pas berangkat koq bentuk koper berat sesuai jatah policynya beda lionair ngurahraibali bal,-0.15000000000000002,Negative,-0.7052,Negative,0.042,0.141,0.817,-0.7052
8,web check lion air kenapa sih ,web check lion air why?,web check lion air,0.0,Neutral,0.0,Neutral,0.0,0.0,1.0,0.0
9,lowongan lion air untuk informasi lebih lengkap cek website lokertangerang lokerjakarta ,"Lion Air vacancies. For more complete information, check the lokertangerang lokerjakarta website",lowong lion air informasi lengkap cek website lokertangerang lokerjakarta,0.3,Positive,0.0,Neutral,0.0,0.0,1.0,0.0
